Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,71.200000,-47.320000,90.000000,top
C2,0.1uF,C_0402_1005Metric,63.700000,-60.580000,-90.000000,top
C3,0.1uF,C_0402_1005Metric,62.560589,-48.160589,135.000000,top
C4,0.1uF,C_0402_1005Metric,70.200000,-47.320000,90.000000,top
C5,0.1uF,C_0402_1005Metric,67.560589,-58.260589,-45.000000,top
C6,0.1uF,C_0402_1005Metric,58.200000,-51.580000,-90.000000,top
C7,0.1uF,C_0402_1005Metric,69.080000,-45.500000,0.000000,top
C8,0.1uF,C_0402_1005Metric,70.820000,-55.600000,0.000000,top
C9,0.1uF,C_0402_1005Metric,70.820000,-54.600000,0.000000,top
C10,1uF,C_0402_1005Metric,65.200000,-59.800000,0.000000,top
C11,0.1uF,C_0402_1005Metric,69.700000,-51.800000,45.000000,top
C12,0.1uF,C_0402_1005Metric,69.200000,-47.340000,90.000000,top
C13,10uF,C_0402_1005Metric,60.100000,-35.220000,-90.000000,top
C14,10uF,C_0402_1005Metric,63.400000,-33.300000,90.000000,top
C15,33pF,C_0402_1005Metric,60.100000,-62.000000,180.000000,top
C16,33pF,C_0402_1005Metric,62.700000,-60.520000,90.000000,top
C17,0.1uF,C_0402_1005Metric,70.400000,-52.500000,45.000000,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,64.700000,-26.990000,180.000000,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,55.810000,-25.870000,0.000000,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,73.590000,-25.870000,0.000000,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,62.160000,-73.890000,90.000000,top
R1,5.1k,R_0402_1005Metric,66.890000,-32.800000,0.000000,top
R2,5.1k,R_0402_1005Metric,66.890000,-33.800000,0.000000,top
R3,27,R_0402_1005Metric,68.939376,-49.760624,45.000000,top
R4,27,R_0402_1005Metric,69.460624,-50.639376,-135.000000,top
R5,1K,R_0402_1005Metric,59.990001,-57.500000,0.000000,top
R6,10K,R_0402_1005Metric,64.200000,-45.300000,0.000000,top
R7,1K,R_0402_1005Metric,66.700000,-44.610000,-90.000000,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,64.500000,-41.600000,0.000000,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,64.700000,-54.000000,-45.000000,top
U2,MCP1700x-330xxTT,SOT-23,62.300000,-35.200000,90.000000,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,66.275000,-47.150000,0.000000,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,59.800000,-59.750000,180.000000,top